date,PriceStats,CPI
05-01-2009,96.12257,96.07569
06-01-2009,96.15632,96.07569
07-01-2009,96.21664,96.07569
08-01-2009,96.31301,96.07569
09-01-2009,96.4149,96.07569
10-01-2009,96.46743,96.07569
11-01-2009,96.48782,96.07569
12-01-2009,96.49789,96.07569
13-01-2009,96.49083,96.07569
14-01-2009,96.52679,96.07569
15-01-2009,96.54081,96.07569
16-01-2009,96.567,96.07569
17-01-2009,96.59364,96.07569
18-01-2009,96.64108,96.07569
19-01-2009,96.64434,96.07569
20-01-2009,96.64857,96.07569
21-01-2009,96.70225,96.07569
22-01-2009,96.72525,96.07569
23-01-2009,96.73504,96.07569
24-01-2009,96.7368,96.07569
25-01-2009,96.74407,96.07569
26-01-2009,96.74186,96.07569
27-01-2009,96.71595,96.07569
28-01-2009,96.70609,96.07569
29-01-2009,96.72359,96.07569
30-01-2009,96.72789,96.07569
31-01-2009,96.74158,96.07569
01-02-2009,96.78483,96.49385
02-02-2009,96.80257,96.49385
03-02-2009,96.82672,96.49385
04-02-2009,96.98864,96.49385
05-02-2009,97.03506,96.49385
06-02-2009,97.06034,96.49385
07-02-2009,97.0729,96.49385
08-02-2009,97.0996,96.49385
09-02-2009,97.1116,96.49385
10-02-2009,97.11415,96.49385
11-02-2009,97.18593,96.49385
12-02-2009,97.2281,96.49385
13-02-2009,97.27321,96.49385
14-02-2009,97.29572,96.49385
15-02-2009,97.31374,96.49385
16-02-2009,97.29053,96.49385
17-02-2009,97.28534,96.49385
18-02-2009,97.32703,96.49385
19-02-2009,97.33775,96.49385
20-02-2009,97.31696,96.49385
21-02-2009,97.28463,96.49385
22-02-2009,97.24584,96.49385
23-02-2009,97.20739,96.49385
24-02-2009,97.16079,96.49385
25-02-2009,97.15398,96.49385
26-02-2009,97.12566,96.49385
27-02-2009,97.09085,96.49385
28-02-2009,97.08546,96.49385
01-03-2009,97.15695,96.97369
02-03-2009,97.20842,96.97369
03-03-2009,97.18717,96.97369
04-03-2009,97.24998,96.97369
05-03-2009,97.25901,96.97369
06-03-2009,97.27168,96.97369
07-03-2009,97.29161,96.97369
08-03-2009,97.31777,96.97369
09-03-2009,97.32438,96.97369
10-03-2009,97.29984,96.97369
11-03-2009,97.31622,96.97369
12-03-2009,97.32243,96.97369
13-03-2009,97.336,96.97369
14-03-2009,97.33927,96.97369
15-03-2009,97.34171,96.97369
16-03-2009,97.34733,96.97369
17-03-2009,97.35529,96.97369
18-03-2009,97.36027,96.97369
